ID,FQA_USDASymbol,FQA_USDASymbolOrigin,FQA_Family,FQA_SciName_withAuthority,FQA_SciName_noAuthority,FQA_Genus,FQA_Species,FQA_Trinomial,FQA_C-Value2020,FQA_C-Value2020_Numeric,FQA_NativeStatus,CONox_Status,AW_WetIndicator,GP_WetIndicator,WMVC_WetIndicator,CNHP_Tracked,CNHP_GRank,CNHP_SRank,CPW_DuckFoodValue,USDA_MajorGroup,USDA_Category,USDA_GrowthHabitSimple,USDA_GrowthHabitFull,USDA_GrowthHabitDuration_Origin,USDA_Duration,USDA_GrowthForm,USDA_GrowthRate,USDA_DroughtTolerance,USDA_ShadeTolerance,USDA_BloomPeriod,Invasiveness,IRank,IRank_Score,FQA_NameOrigin,National_USDASymbol,National_Family,National_SciName_noAuthority,Ack_Family,Ack_SciName_noAuthority,Weber2001_Family,Weber2001_SciName_no Authority,Weber2012_Family,Weber2012_SciName_no Authority,IRank_GName,National_NativeStatus,Ack_NativeStatus,Weber2001_NativeStatus,ITIS_NativeStatus,BONAP_NativeStatus,BONAP_Override,IRank_MixedOrigin,FQA_C-Value2006
11,"ABPA3","FQA_SciName","Malvaceae","Abutilon parvulum A. Gray","Abutilon parvulum","Abutilon","parvulum"," ","Not Assigned",,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Subshrub, Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","ABPA3","Malvaceae","Abutilon parvulum","Malvaceae","Abutilon parvulum","Malvaceae","Abutilon parvulum","Malvaceae","Abutilon parvulum",,"Native","Native","Native","Native","Native",,,"Not Assigned"
12,"ABTH","FQA_SciName","Malvaceae","Abutilon theophrasti Medik.","Abutilon theophrasti","Abutilon","theophrasti"," ","0",0,"Non-native","List C","UPL","UPL","FACU",,,,"LOW","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,4,"Medium/Low",4,"Ackerfield 2015","ABTH","Malvaceae","Abutilon theophrasti","Malvaceae","Abutilon theophrasti","Malvaceae","Abutilon theophrasti","Malvaceae","Abutilon theophrasti","Abutilon theophrasti","Introduced","Introduced","Non-native","Introduced","Exotic",,,"0"
15,"ACER","FQA_SciName","Sapindaceae","Acer L.","Acer","Acer",,,,,"Native",,,,,,,,,"Angiosperms","Dicot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"ACGLG2","FQA_SciName","Sapindaceae","Acer glabrum Torr. var. glabrum","Acer glabrum var. glabrum","Acer","glabrum","var. glabrum","7",7,"Native",,"FAC","FAC","FACU",,,,"NO","Angiosperms","Dicot","Shrub","Shrub, Tree",,"Perennial",,,,,,,,,"Ackerfield 2015","ACGLG2","Aceraceae","Acer glabrum var. glabrum","Sapindaceae","Acer glabrum var. glabrum","Aceraceae","Acer glabrum","Aceraceae","Acer glabrum",,"Native","Native","Native","Native","Native",,,"7"
14,"ACGRG","FQA_SciName","Sapindaceae","Acer grandidentatum Nutt. var. grandidentatum","Acer grandidentatum var. grandidentatum","Acer","grandidentatum","var. grandidentatum","10",10,"Native",,"FACU","FAC","FACU","Yes","G4G5","S1","NO","Angiosperms","Dicot","Shrub","Shrub, Tree",,"Perennial",,,,,,,,,"Ackerfield 2015","ACGRG","Aceraceae","Acer grandidentatum var. grandidentatum","Sapindaceae","Acer grandidentatum var. grandidentatum","Aceraceae","Acer grandidentatum","Aceraceae","Acer grandidentatum",,"Native","Native","Native","Native","Native",,,"10"
16,"ACNE2","FQA_SciName","Sapindaceae","Acer negundo L.","Acer negundo","Acer","negundo"," ","4",4,"Native",,"FACW","FAC","FAC",,,,"NO","Angiosperms","Dicot","Tree","Tree",,"Perennial","Multiple Stem","Rapid","High","Tolerant","Early Spring",,,,"Ackerfield 2015","ACNE2","Aceraceae","Acer negundo","Sapindaceae","Acer negundo","Aceraceae","Negundo aceroides","Aceraceae","Negundo aceroides",,"Native","Native","Native","Native","Native",,,"7"
17,"ACNEI2","FQA_SciName","Sapindaceae","Acer negundo L. var. interius (Britton) Sarg.","Acer negundo var. interius","Acer","negundo","var. interius","4",4,"Native",,"FACW","FAC","FAC",,,,"NO","Angiosperms","Dicot","Tree","Tree",,"Perennial",,,,,,,,,"Ackerfield 2015","ACNEI2","Aceraceae","Acer negundo var. interius","Sapindaceae","Acer negundo var. interius","Aceraceae","Negundo aceroides ssp. interius","Aceraceae","Negundo aceroides ssp. interius",,"Native","Native","Native","Native","Native",,,"7"
18,"ACNEV","FQA_SciName","Sapindaceae","Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger","Acer negundo var. violaceum","Acer","negundo","var. violaceum","4",4,"Native",,"FACW","FAC","FAC",,,,"NO","Angiosperms","Dicot","Tree","Tree",,"Perennial",,,,,,,,,"Ackerfield 2015","ACNEV","Aceraceae","Acer negundo var. violaceum","Sapindaceae","Acer negundo var. violaceum","Aceraceae","Negundo aceroides ssp. violaceus","Aceraceae","Negundo aceroides ssp. violaceus",,"Native","Native","Non-native","Native","Native",,,"0"
20,"ACHIL","FQA_SciName","Asteraceae","Achillea L.","Achillea","Achillea",,,,,"Unknown",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"ACFI","FQA_SciName","Asteraceae","Achillea filipendulina Lam.","Achillea filipendulina","Achillea","filipendulina"," ","0",0,"Non-native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","ACFI","Asteraceae","Achillea filipendulina","Asteraceae","Achillea filipendulina",,,,,,"Introduced","Introduced",,"Introduced","Exotic",,,"0"
21,"ACMI2","FQA_SciName","Asteraceae","Achillea millefolium L.","Achillea millefolium","Achillea","millefolium"," ","4",4,"Native",,"FACU","FACU","FACU",,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial","Rhizomatous","Moderate","Medium","Intermediate","Early Summer",,,,"Ackerfield 2015","ACMI2","Asteraceae","Achillea millefolium","Asteraceae","Achillea millefolium","Asteraceae","Achillea lanulosa","Asteraceae","Achillea millefolium",,"Both","Native","Native","Native","Native",,,"4"
22,"ACPT","FQA_SciName","Asteraceae","Achillea ptarmica L.","Achillea ptarmica","Achillea","ptarmica"," ","0",0,"Non-native",,"FACU","FACU","FACU",,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","ACPT","Asteraceae","Achillea ptarmica","Asteraceae","Achillea ptarmica",,,,,,"Introduced","Introduced",,"Introduced","Exotic",,,"0"
28,"ACHNA","FQA_SciName","Poaceae","Achnatherum P. Beauv.","Achnatherum","Achnatherum",,,,,"Native",,,,,,,,,"Angiosperms","Monocot","Graminoid","Graminoid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"ACBL","FQA_SciName","Poaceae","Achnatherum ×bloomeri (Bol.) Barkworth","Achnatherum ×bloomeri","Achnatherum","×bloomeri"," ","10",10,"Native",,,,,,,,"NO","Angiosperms","Monocot","Graminoid","Graminoid",,"Perennial",,,,,,,,,"Ackerfield 2015","ACBL","Poaceae","Achnatherum ×bloomeri","Poaceae","Achnatherum ×bloomeri","Poaceae","Achnatherum x bloomeri","Poaceae","Achnatherum x bloomeri",,"Native","Native","Native","Native","Native",,,"10"
24,"ACAR14","FQA_SciName","Poaceae","Achnatherum aridum (M.E. Jones) Barkworth","Achnatherum aridum","Achnatherum","aridum"," ","7",7,"Native",,,,,,,,"NO","Angiosperms","Monocot","Graminoid","Graminoid",,"Perennial",,,,,,,,,"Ackerfield 2015","ACAR14","Poaceae","Achnatherum aridum","Poaceae","Achnatherum aridum","Poaceae","Achnatherum aridum","Poaceae","Achnatherum aridum",,"Native","Native","Native","Native","Native",,,"7"
25,"ACHY","FQA_SciName","Poaceae","Achnatherum hymenoides (Roem. & Schult.) Barkworth","Achnatherum hymenoides","Achnatherum","hymenoides"," ","5",5,"Native",,"UPL","FACU","UPL",,,,"NO","Angiosperms","Monocot","Graminoid","Graminoid",,"Perennial","Bunch","Moderate","High","Intolerant","Late Spring",,,,"Ackerfield 2015","ACHY","Poaceae","Achnatherum hymenoides","Poaceae","Achnatherum hymenoides","Poaceae","Achnatherum hymenoides","Poaceae","Achnatherum hymenoides",,"Native","Native","Native","Native","Native",,,"5"
26,"ACLE9","FQA_SciName","Poaceae","Achnatherum lettermanii (Vasey) Barkworth","Achnatherum lettermanii","Achnatherum","lettermanii"," ","6",6,"Native",,,,,,,,"NO","Angiosperms","Monocot","Graminoid","Graminoid",,"Perennial","Bunch","Slow","High","Intolerant","Summer",,,,"Ackerfield 2015","ACLE9","Poaceae","Achnatherum lettermanii","Poaceae","Achnatherum lettermanii","Poaceae","Achnatherum lettermanii","Poaceae","Achnatherum lettermanii",,"Native","Native","Native","Native","Native",,,"6"
27,"ACNE9","FQA_SciName","Poaceae","Achnatherum nelsonii (Scribn.) Barkworth","Achnatherum nelsonii","Achnatherum","nelsonii"," ","6",6,"Native",,"FACU","UPL","UPL",,,,"NO","Angiosperms","Monocot","Graminoid","Graminoid",,"Perennial",,,,,,,,,"Ackerfield 2015","ACNE9","Poaceae","Achnatherum nelsonii","Poaceae","Achnatherum nelsonii","Poaceae","Achnatherum nelsonii","Poaceae","Achnatherum nelsonii",,"Native","Native","Native","Native","Native",,,"6"
29,"ACPE13","FQA_SciName","Poaceae","Achnatherum perplexum Hoge & Barkworth","Achnatherum perplexum","Achnatherum","perplexum"," ","Not Assigned",,"Native",,,,,,,,,"Angiosperms","Monocot","Graminoid","Graminoid",,"Perennial",,,,,,,,,"Ackerfield 2015","ACPE13","Poaceae","Achnatherum perplexum","Poaceae","Achnatherum perplexum",,,"Poaceae","Achnatherum perplexum",,"Native","Native",,"Native","Native",,,"Not Assigned"
30,"ACPI2","FQA_SciName","Poaceae","Achnatherum pinetorum (M.E. Jones) Barkworth","Achnatherum pinetorum","Achnatherum","pinetorum"," ","6",6,"Native",,,,,,,,"NO","Angiosperms","Monocot","Graminoid","Graminoid",,"Perennial",,,,,,,,,"Ackerfield 2015","ACPI2","Poaceae","Achnatherum pinetorum","Poaceae","Achnatherum pinetorum","Poaceae","Achnatherum pinetorum","Poaceae","Achnatherum pinetorum",,"Native","Native","Native","Native","Native",,,"6"
31,"ACRI8","FQA_SciName","Poaceae","Achnatherum richardsonii (Link) Barkworth","Achnatherum richardsonii","Achnatherum","richardsonii"," ","6",6,"Native",,"UPL","FACU","UPL","Yes","G5","S1","NO","Angiosperms","Monocot","Graminoid","Graminoid",,"Perennial",,,,,,,,,"Ackerfield 2015","ACRI8","Poaceae","Achnatherum richardsonii","Poaceae","Achnatherum richardsonii","Poaceae","Achnatherum richardsonii","Poaceae","Achnatherum richardsonii",,"Native","Native","Native","Native","Native",,,"6"
32,"ACRO7","FQA_SciName","Poaceae","Achnatherum robustum (Vasey) Barkworth","Achnatherum robustum","Achnatherum","robustum"," ","3",3,"Native",,,,,,,,"NO","Angiosperms","Monocot","Graminoid","Graminoid",,"Perennial",,,,,,,,,"Ackerfield 2015","ACRO7","Poaceae","Achnatherum robustum","Poaceae","Achnatherum robustum","Poaceae","Achnatherum robustum","Poaceae","Achnatherum robustum",,"Native","Native","Native","Native","Native",,,"3"
33,"ACSC11","FQA_SciName","Poaceae","Achnatherum scribneri (Vasey) Barkworth","Achnatherum scribneri","Achnatherum","scribneri"," ","7",7,"Native",,,,,,,,"NO","Angiosperms","Monocot","Graminoid","Graminoid",,"Perennial",,,,,,,,,"Ackerfield 2015","ACSC11","Poaceae","Achnatherum scribneri","Poaceae","Achnatherum scribneri","Poaceae","Achnatherum scribneri","Poaceae","Achnatherum scribneri",,"Native","Native","Native","Native","Native",,,"7"
34,"ACWE3","FQA_SciName","Poaceae","Achnatherum webberi (Thurb.) Barkworth","Achnatherum webberi","Achnatherum","webberi"," ","Not Assigned",,"Native",,,,,,,,,"Angiosperms","Monocot","Graminoid","Graminoid",,"Perennial",,,,,,,,,"Ackerfield 2015","ACWE3","Poaceae","Achnatherum webberi","Poaceae","Achnatherum webberi",,,,,,"Native","Native",,"Native","Adventive","Native",,"Not Assigned"
36,"ACONI","FQA_SciName","Ranunculaceae","Aconitum L.","Aconitum","Aconitum",,,"8",8,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"ACCO4","FQA_SciName","Ranunculaceae","Aconitum columbianum Nutt.","Aconitum columbianum","Aconitum","columbianum"," ","8",8,"Native",,"FACW","FACW","FACW",,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial","Single Crown","Moderate","Low","Intermediate","Early Summer",,,,"Ackerfield 2015","ACCO4","Ranunculaceae","Aconitum columbianum","Ranunculaceae","Aconitum columbianum","Helleboraceae","Aconitum columbianum","Helleboraceae","Aconitum columbianum",,"Native","Native","Native","Native","Native",,,"8"
4230,"ACORAC","FQA_SciName","Acoraceae","Acoraceae","Acoraceae",,,,,,,,,,,,,,,"Angiosperms","Monocot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"ACORU","FQA_SciName","Acoraceae","Acorus L.","Acorus","Acorus",,,"5",5,"Native",,,,,,,,,"Angiosperms","Monocot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"ACCA4","FQA_SciName","Acoraceae","Acorus calamus L.","Acorus calamus","Acorus","calamus"," ","5",5,"Native",,"OBL","OBL","OBL","Yes","G4?","S1","NO","Angiosperms","Monocot","Forb","Forb/herb",,"Perennial","Rhizomatous","Moderate","None","Intolerant","Late Spring",,,,"Ackerfield 2015","ACCA4","Acoraceae","Acorus calamus","Acoraceae","Acorus calamus","Acoraceae","Acorus calamus","Acoraceae","Acorus calamus","Acorus calamus","Introduced","Native","Native","Introduced","Exotic","Native","Exotic and Unknown/Undetermined","5"
39,"ACROP","FQA_SciName","Asteraceae","Acroptilon Cass.","Acroptilon","Acroptilon",,,"0",0,"Non-native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"ACRE3","FQA_SciName","Asteraceae","Acroptilon repens (L.) DC.","Acroptilon repens","Acroptilon","repens"," ","0",0,"Non-native","List B",,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,4,"High/Medium",8,"Ackerfield 2015","ACRE3","Asteraceae","Acroptilon repens","Asteraceae","Acroptilon repens","Asteraceae","Acroptilon repens","Asteraceae","Acroptilon repens","Acroptilon repens","Introduced","Introduced","Non-native","Introduced","Exotic",,,"0"
41,"ACTAE","FQA_SciName","Ranunculaceae","Actaea L.","Actaea","Actaea",,,"9",9,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"ACRU2","FQA_SciName","Ranunculaceae","Actaea rubra (Aiton) Willd.","Actaea rubra","Actaea","rubra"," ","9",9,"Native",,"FAC","FACU","FACU",,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","ACRU2","Ranunculaceae","Actaea rubra","Ranunculaceae","Actaea rubra","Helleboraceae","Actaea rubra ssp. arguta","Helleboraceae","Actaea rubra ssp. arguta",,"Native","Native","Native","Native","Native",,,"9"
45,"ADIAN","FQA_SciName","Pteridaceae","Adiantum L.","Adiantum","Adiantum",,,,,"Native",,,,,,,,,"Ferns and Fern Allies","Fern","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"ADAL","FQA_SciName","Pteridaceae","Adiantum aleuticum (Rupr.) Paris","Adiantum aleuticum","Adiantum","aleuticum"," ","8",8,"Native",,"FAC","FAC","FAC","Yes","G5?","S1","NO","Ferns and Fern Allies","Fern","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","ADAL","Pteridaceae","Adiantum aleuticum","Pteridaceae","Adiantum aleuticum","Adiantaceae","Adiantum aleuticum","Adiantaceae","Adiantum aleuticum",,"Native","Native","Native","Native","Native",,,"Not Assigned"
44,"ADCA","FQA_SciName","Pteridaceae","Adiantum capillus-veneris L.","Adiantum capillus-veneris","Adiantum","capillus-veneris"," ","9",9,"Native",,"FACW","FACW","FACW","Yes","G5","S2","NO","Ferns and Fern Allies","Fern","Forb","Forb/herb",,"Perennial","Rhizomatous","Moderate","None","Tolerant","Summer",,,,"Ackerfield 2015","ADCA","Pteridaceae","Adiantum capillus-veneris","Pteridaceae","Adiantum capillus-veneris","Adiantaceae","Adiantum capillus-veneris","Adiantaceae","Adiantum capillus-veneris",,"Native","Native","Native","Native","Native",,,"9"
46,"ADOXA","FQA_SciName","Adoxaceae","Adoxa L.","Adoxa","Adoxa",,,"10",10,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"ADMO","FQA_SciName","Adoxaceae","Adoxa moschatellina L.","Adoxa moschatellina","Adoxa","moschatellina"," ","10",10,"Native",,"FAC","FAC","FAC",,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","ADMO","Adoxaceae","Adoxa moschatellina","Adoxaceae","Adoxa moschatellina","Adoxaceae","Adoxa moschatellina","Adoxaceae","Adoxa moschatellina",,"Native","Native","Native","Native","Native",,,"10"
4231,"ADOXAC","FQA_SciName","Adoxaceae","Adoxaceae","Adoxaceae",,,,,,,,,,,,,,,"Angiosperms","Dicot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"AEGIL","FQA_SciName","Poaceae","Aegilops L.","Aegilops","Aegilops",,,"0",0,"Non-native",,,,,,,,,"Angiosperms","Monocot","Graminoid","Graminoid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"AECY","FQA_SciName","Poaceae","Aegilops cylindrica Host","Aegilops cylindrica","Aegilops","cylindrica"," ","0",0,"Non-native","List B",,,,,,,"NO","Angiosperms","Monocot","Graminoid","Graminoid",,"Annual",,,,,,4,"Medium/Insignificant",5,"Ackerfield 2015","AECY","Poaceae","Aegilops cylindrica","Poaceae","Aegilops cylindrica","Poaceae","Cylindropyrum cylindricum","Poaceae","Cylindropyrum cylindricum","Aegilops cylindrica","Introduced","Introduced","Non-native","Introduced","Exotic",,,"0"
50,"AGALI","FQA_SciName","Orobanchaceae","Agalinis Raf.","Agalinis","Agalinis",,,"10",10,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"AGTEP2","FQA_SciName","Orobanchaceae","Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell","Agalinis tenuifolia var. parviflora","Agalinis","tenuifolia","var. parviflora","10",10,"Native",,"FACW","FAC","FAC",,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","AGTEP2","Scrophulariaceae","Agalinis tenuifolia var. parviflora","Orobanchaceae","Agalinis tenuifolia var. parviflora","Scrophulariaceae","Agalinis tenuifolia","Scrophulariaceae","Agalinis tenuifolia",,"Native","Native","Native","Native","Native",,,"10"
52,"AGAST","FQA_SciName","Lamiaceae","Agastache Clayton ex Gronov.","Agastache","Agastache",,,,,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"AGFO","FQA_SciName","Lamiaceae","Agastache foeniculum (Pursh) Kuntze","Agastache foeniculum","Agastache","foeniculum"," ","3",3,"Native",,,,,"Yes","G5","S2","NO","Angiosperms","Dicot","Forb","Subshrub, Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","AGFO","Lamiaceae","Agastache foeniculum","Lamiaceae","Agastache foeniculum","Lamiaceae","Agastache foeniculum","Lamiaceae","Agastache foeniculum",,"Native","Native","Native","Native","Native",,,"3"
54,"AGPA","FQA_SciName","Lamiaceae","Agastache pallidiflora (A. Heller) Rydb","Agastache pallidiflora","Agastache","pallidiflora"," ","5",5,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Subshrub, Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","AGPA","Lamiaceae","Agastache pallidiflora","Lamiaceae","Agastache pallidiflora","Lamiaceae","Agastache pallidiflora","Lamiaceae","Agastache pallidiflora",,"Native","Native","Native","Native","Native",,,"5"
55,"AGUR","FQA_SciName","Lamiaceae","Agastache urticifolia (Benth.) Kuntze","Agastache urticifolia","Agastache","urticifolia"," ","5",5,"Native",,"FACU",,"FACU",,,,"NO","Angiosperms","Dicot","Forb","Forb/herb, Subshrub",,"Perennial","Rhizomatous","Rapid","Low","Intermediate","Late Spring",,,,"Ackerfield 2015","AGUR","Lamiaceae","Agastache urticifolia","Lamiaceae","Agastache urticifolia","Lamiaceae","Agastache urticifolia","Lamiaceae","Agastache urticifolia",,"Native","Native","Native","Native","Native",,,"5"
4232,"AGAVAC","FQA_SciName","Agavaceae","Agavaceae","Agavaceae",,,,,,,,,,,,,,,"Angiosperms","Monocot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"AGERA2","FQA_SciName","Asteraceae","Ageratina Spach","Ageratina","Ageratina",,,"6",6,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"AGHE5","FQA_SciName","Asteraceae","Ageratina herbacea (A. Gray) King & H. Rob.","Ageratina herbacea","Ageratina","herbacea"," ","6",6,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Subshrub, Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","AGHE5","Asteraceae","Ageratina herbacea","Asteraceae","Ageratina herbacea","Asteraceae","Ageratina herbacea","Asteraceae","Ageratina herbacea",,"Native","Native","Native","Native","Native",,,"Not Assigned"
66,"AGOSE","FQA_SciName","Asteraceae","Agoseris Raf.","Agoseris","Agoseris",,,,,"Native",,,,,,,,,"Angiosperms","Dicot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
